ribbon.show-hide.rulers;Rulers;Thước
ribbon.show-hide.gridlines;Gridlines;Lưới
ribbon.show-hide.gridlines-tooltip;Gridlines (Ctrl+G) - needs zoom >= 400%;Lưới (Ctrl+G) - cần thu phóng >= 400%
ribbon.show-hide.status-bar;Status bar;Thanh trạng thái
ribbon.display.label;Display;Hiển thị
ribbon.display.full-screen;Full screen;Toàn màn hình
ribbon.display.thumbnail;Thumbnail;Ảnh thu nhỏ
shortcut.file.new;Ctrl+N;Ctrl+N
shortcut.file.open;Ctrl+O;Ctrl+O
shortcut.file.save;Ctrl+S;Ctrl+S
shortcut.file.save-as;Ctrl+Shift+S;Ctrl+Shift+S
shortcut.file.properties;Ctrl+E;Ctrl+E
shortcut.edit.undo;Ctrl+Z;Ctrl+Z
shortcut.edit.redo;Ctrl+Y;Ctrl+Y
shortcut.edit.cut;Ctrl+X;Ctrl+X
shortcut.edit.copy;Ctrl+C;Ctrl+C
shortcut.edit.paste;Ctrl+V;Ctrl+V
shortcut.image.select-all;Ctrl+A;Ctrl+A
shortcut.image.invert-selection;Ctrl+I;Ctrl+I
shortcut.image.delete;Del;Del
shortcut.image.resize;Ctrl+W;Ctrl+W
shortcut.view.zoom-in;Ctrl+PgUp;Ctrl+PgUp
shortcut.view.zoom-out;Ctrl+PgDn;Ctrl+PgDn
shortcut.view.rulers;Ctrl+R;Ctrl+R
shortcut.view.full-screen;F11;F11
common.tooltip.with-shortcut;{0} ({1});{0} ({1})
titlebar.qat.save;Save;Lưu
titlebar.qat.undo;Undo;Hoàn tác
titlebar.qat.redo;Redo;Làm lại
titlebar.qat.customise;Customise Quick Access Toolbar;Tuỳ chỉnh thanh truy cập nhanh
titlebar.window.title;{0} - Paint;{0} - Paint
titlebar.window.minimize;Not available on the web - use your browser's minimise button;Không khả dụng trên web - dùng nút thu nhỏ của trình duyệt
titlebar.window.maximize;Maximise (full screen);Phóng to (toàn màn hình)
titlebar.window.close;Close;Đóng
statusbar.cell.cursor-position;{0}, {1}px;{0}, {1}px
statusbar.cell.selection-size;{0} x {1}px;{0} x {1}px
statusbar.cell.document-size;{0} x {1}px;{0} x {1}px
statusbar.cell.file-size-kb;{0}KB;{0}KB
statusbar.cell.file-size-mb;{0}MB;{0}MB
statusbar.zoom.label;Zoom;Thu phóng
statusbar.zoom.in;Zoom in;Phóng to
statusbar.zoom.out;Zoom out;Thu nhỏ
statusbar.zoom.percent;{0}%;{0}%
canvas.thumbnail.title;Thumbnail;Ảnh thu nhỏ
canvas.text.label;Text box;Hộp văn bản
canvas.full-screen.exit;Click the picture to leave full screen;Bấm vào ảnh để thoát toàn màn hình
filemenu.nav.back;Back;Quay lại
filemenu.item.new;New;Mới
filemenu.item.open;Open;Mở
filemenu.item.save;Save;Lưu
filemenu.item.save-note;This browser downloads the file to your Downloads folder;Trình duyệt này sẽ tải tệp về thư mục Downloads
filemenu.item.save-as;Save as;Lưu thành
filemenu.item.print;Print;In
filemenu.item.from-camera;From camera;Từ máy ảnh
filemenu.item.from-camera-note;Uses getUserMedia - about 4K at most;Dùng getUserMedia - tối đa khoảng 4K
filemenu.item.copy-image;Copy image;Chép ảnh
filemenu.item.properties;Properties;Thuộc tính
filemenu.item.about;About Paint;Giới thiệu Paint
filemenu.item.exit;Exit;Thoát
filemenu.save-as.option;{0} ({1});{0} ({1})
filemenu.save-as.other;Other formats...;Định dạng khác...
filemenu.recent.title;Recent pictures;Ảnh gần đây
filemenu.recent.meta;{0} - {1};{0} - {1}
filemenu.recent.empty;Nothing here yet - pictures you open appear in this list;Chưa có gì - ảnh bạn mở sẽ hiện trong danh sách này
filemenu.language.label;Language;Ngôn ngữ
filemenu.language.en;English;English
filemenu.language.vi;Tiếng Việt;Tiếng Việt
dialog.common.ok;OK;OK
dialog.common.cancel;Cancel;Huỷ
dialog.common.close;Close;Đóng
dialog.about.title;About Paint;Giới thiệu Paint
dialog.about.app-name;Paint Web 0.1.0;Paint Web 0.1.0
dialog.about.body;A web rebuild of the Microsoft Paint (Windows 10) Ribbon interface, running entirely client-side.;Bản dựng lại giao diện Ribbon của Microsoft Paint (Windows 10) trên nền web, chạy hoàn toàn client-side.
dialog.about.disclaimer;"Not affiliated with Microsoft. The interface is inspired by Microsoft Paint. Icons come from Font Awesome Pro under a separate licence; no original Paint asset is used.";"Không liên kết với Microsoft. Giao diện lấy cảm hứng từ Microsoft Paint. Icon dùng Font Awesome Pro theo license riêng; không sử dụng asset gốc của Paint."
dialog.confirm-discard.title;Paint;Paint
dialog.confirm-discard.message;Do you want to save changes to {0}?;Bạn có muốn lưu thay đổi cho {0} không?
dialog.confirm-discard.save;Save;Lưu
dialog.confirm-discard.dont-save;Don't Save;Không lưu
dialog.edit-colors.title;Edit Colors;Sửa màu
dialog.edit-colors.basic;Basic colors:;Màu cơ bản:
dialog.edit-colors.add-custom;Add to Custom Colors;Thêm vào màu tuỳ chỉnh
dialog.edit-colors.color-solid;Color|Solid:;Màu|Đặc:
dialog.edit-colors.hue;Hue:;Tông:
dialog.edit-colors.sat;Sat:;Bão hoà:
dialog.edit-colors.lum;Lum:;Độ sáng:
dialog.edit-colors.red;Red:;Đỏ:
dialog.edit-colors.green;Green:;Lục:
dialog.edit-colors.blue;Blue:;Lam:
dialog.image-properties.title;Image Properties;Thuộc tính ảnh
dialog.image-properties.file-attributes;File Attributes;Thuộc tính tệp
dialog.image-properties.last-saved;Last saved:;Lưu lần cuối:
dialog.image-properties.not-available;Not available;Không có
dialog.image-properties.size-on-disk;Size on disk:;Dung lượng trên đĩa:
dialog.image-properties.size-estimate;{0} KB (estimated);{0} KB (ước tính)
dialog.image-properties.resolution;Resolution:;Độ phân giải:
dialog.image-properties.dpi;{0} DPI;{0} DPI
dialog.image-properties.units;Units;Đơn vị
dialog.image-properties.inches;Inches;Inch
dialog.image-properties.centimeters;Centimeters;Xentimét
dialog.image-properties.pixels;Pixels;Điểm ảnh
dialog.image-properties.colors;Colors;Màu
dialog.image-properties.black-and-white;Black and white;Đen trắng
dialog.image-properties.color;Color;Màu
dialog.image-properties.width;Width:;Rộng:
dialog.image-properties.height;Height:;Cao:
dialog.resize-skew.title;Resize and Skew;Đổi cỡ và nghiêng
dialog.resize-skew.resize;Resize;Đổi cỡ
dialog.resize-skew.by;By:;Theo:
dialog.resize-skew.percentage;Percentage;Phần trăm
dialog.resize-skew.pixels;Pixels;Điểm ảnh
dialog.resize-skew.horizontal;Horizontal:;Ngang:
dialog.resize-skew.vertical;Vertical:;Dọc:
dialog.resize-skew.maintain-ratio;Maintain aspect ratio;Giữ tỉ lệ khung hình
dialog.resize-skew.skew;Skew (Degrees);Nghiêng (độ)
dialog.resize-skew.hint;Limited to 89° either way - a wider angle makes the matrix degenerate.;Giới hạn 89° mỗi chiều - tránh ma trận suy biến.
dialog.save-as.title;Save As;Lưu thành
dialog.save-as.file-name;File name:;Tên tệp:
dialog.save-as.type;Save as type:;Lưu kiểu:
dialog.save-as.quality;Quality:;Chất lượng:
dialog.save-as.format-option;{0} ({1});{0} ({1})
dialog.save-as.hint-png;PNG keeps alpha - the default format.;PNG giữ nguyên alpha - định dạng mặc định.
dialog.save-as.hint-jpeg;JPEG has no alpha: a transparent background turns white.;JPEG không có alpha: nền trong suốt sẽ thành trắng.
dialog.save-as.hint-bmp;BMP is written by a hand-rolled encoder, 24-bit uncompressed - alpha is flattened onto white.;BMP ghi bằng encoder tự viết, 24-bit không nén - alpha hợp nhất với nền trắng.
dialog.save-as.hint-gif;GIF is quantised to 256 colors with 1-bit alpha.;GIF lượng tử hoá về 256 màu, alpha 1-bit.
dialog.save-as.hint-webp;"WEBP keeps alpha; Safari 16 and later.";"WEBP giữ alpha; Safari 16 trở lên."
document.name.untitled;Untitled;Chưa đặt tên
toast.file.gif-flattened;An animated GIF opens as its first frame only;Ảnh GIF động chỉ mở được khung hình đầu tiên
toast.file.too-large;That picture is larger than 8000 pixels on a side;Ảnh đó có cạnh lớn hơn 8000 điểm ảnh
toast.file.open-failed;That file could not be opened as a picture;Không mở được tệp đó như một ảnh
toast.file.save-failed;The file could not be written;Không ghi được tệp
toast.file.downloaded;Saved to your Downloads folder;Đã lưu vào thư mục Tải xuống
toast.file.permission-denied;Permission to use that file was refused;Quyền dùng tệp đó đã bị từ chối
toast.file.close-blocked;A tab can only be closed from the browser itself;Chỉ có thể đóng thẻ từ chính trình duyệt
toast.clipboard.no-image;The clipboard holds no picture;Bảng tạm không có ảnh nào
toast.clipboard.copy-failed;The picture could not be copied;Không sao chép được ảnh
toast.clipboard.paste-shortcut;This browser only pastes with the keyboard shortcut;Trình duyệt này chỉ dán được bằng phím tắt
history.label.pencil;Pencil;Bút chì
history.label.brush;Brush;Cọ vẽ
history.label.eraser;Eraser;Tẩy
history.label.fill;Fill with color;Tô màu
history.label.picker;Pick color;Lấy màu
history.label.magnifier;Magnifier;Kính lúp
history.label.shape;Shape;Hình
history.label.selection;Selection;Vùng chọn
history.label.delete;Delete selection;Xoá vùng chọn
history.label.paste;Paste;Dán
history.label.crop;Crop;Cắt xén
history.label.rotate;Rotate;Xoay
history.label.flip;Flip;Lật
history.label.resize;Resize;Đổi cỡ
history.label.canvas;Canvas size;Cỡ trang vẽ
history.label.text;Text;Văn bản
