ribbon.zoom.label;Zoom;Thu phóng
ribbon.zoom.in;Zoom in;Phóng to
ribbon.zoom.out;Zoom out;Thu nhỏ
ribbon.zoom.actual;100%;100%
ribbon.show-hide.label;Show or hide;Hiện hoặc ẩn
ribbon.show-hide.rulers;Rulers;Thước
ribbon.show-hide.gridlines;Gridlines;Lưới
ribbon.show-hide.gridlines-tooltip;Gridlines ({0}) - needs zoom >= 400%;Lưới ({0}) - cần thu phóng >= 400%
ribbon.show-hide.status-bar;Status bar;Thanh trạng thái
ribbon.display.label;Display;Hiển thị
ribbon.display.full-screen;Full screen;Toàn màn hình
ribbon.display.thumbnail;Thumbnail;Ảnh thu nhỏ
shortcut.file.new;Mod+N;Mod+N
shortcut.file.open;Mod+O;Mod+O
shortcut.file.save;Mod+S;Mod+S
shortcut.file.save-as;Mod+Shift+S;Mod+Shift+S
shortcut.file.print;Mod+P;Mod+P
shortcut.file.properties;Ctrl+E;Ctrl+E
shortcut.edit.undo;Mod+Z;Mod+Z
shortcut.edit.redo;Mod+Y;Mod+Y
shortcut.edit.cut;Mod+X;Mod+X
shortcut.edit.copy;Mod+C;Mod+C
shortcut.edit.paste;Mod+V;Mod+V
shortcut.image.select-all;Mod+A;Mod+A
shortcut.image.invert-selection;Mod+I;Mod+I
shortcut.image.delete;Del;Del
shortcut.image.resize;Ctrl+W;Ctrl+W
shortcut.tool.size-up;Mod+=;Mod+=
shortcut.tool.size-down;Mod+-;Mod+-
shortcut.view.zoom-in;Mod+PgUp;Mod+PgUp
shortcut.view.zoom-out;Mod+PgDn;Mod+PgDn
shortcut.view.rulers;Ctrl+R;Ctrl+R
shortcut.view.gridlines;Ctrl+G;Ctrl+G
shortcut.view.full-screen;F11;F11
common.tooltip.with-shortcut;{0} ({1});{0} ({1})
titlebar.qat.new;New;Mới
titlebar.qat.open;Open;Mở
titlebar.qat.save;Save;Lưu
titlebar.qat.undo;Undo;Hoàn tác
titlebar.qat.redo;Redo;Làm lại
titlebar.qat.print-preview;Print preview;Xem trước khi in
titlebar.qat.customize;Customize Quick Access Toolbar;Tuỳ chỉnh thanh truy cập nhanh
titlebar.window.title;{0} - Paint Web;{0} - Paint Web
titlebar.window.maximize;Maximize (full screen);Phóng to (toàn màn hình)
titlebar.window.close;Close;Đóng
statusbar.cell.cursor-position;{0}, {1}px;{0}, {1}px
statusbar.cell.selection-size;{0} x {1}px;{0} x {1}px
statusbar.cell.document-size;{0} x {1}px;{0} x {1}px
statusbar.cell.file-size-kb;{0}KB;{0}KB
statusbar.cell.file-size-mb;{0}MB;{0}MB
statusbar.zoom.label;Zoom;Thu phóng
statusbar.zoom.in;Zoom in;Phóng to
statusbar.zoom.out;Zoom out;Thu nhỏ
statusbar.zoom.percent;{0}%;{0}%
canvas.surface.label;Picture, {0} x {1} pixels;Ảnh, {0} x {1} điểm ảnh
canvas.thumbnail.title;Thumbnail;Ảnh thu nhỏ
canvas.text.label;Text box;Hộp văn bản
canvas.full-screen.exit;Click the picture to leave full screen;Bấm vào ảnh để thoát toàn màn hình
filemenu.item.new;New;Mới
filemenu.item.open;Open;Mở
filemenu.item.save;Save;Lưu
filemenu.item.save-note;This browser downloads the file to your Downloads folder;Trình duyệt này sẽ tải tệp về thư mục Downloads
filemenu.item.save-as;Save as;Lưu thành
filemenu.item.print;Print;In
filemenu.item.from-camera;From camera;Từ máy ảnh
filemenu.item.from-camera-note;Uses getUserMedia - about 4K at most;Dùng getUserMedia - tối đa khoảng 4K
filemenu.item.copy-image;Copy image;Chép ảnh
filemenu.item.properties;Properties;Thuộc tính
filemenu.item.about;About Paint Web;Giới thiệu Paint Web
filemenu.item.exit;Exit;Thoát
filemenu.save-as.option;{0} ({1});{0} ({1})
filemenu.save-as.other;Other formats...;Định dạng khác...
filemenu.print.print;Print;In
filemenu.print.page-setup;Page setup;Thiết lập trang
filemenu.print.preview;Print preview;Xem trước khi in
filemenu.recent.title;Recent pictures;Ảnh gần đây
filemenu.recent.meta;{0} - {1};{0} - {1}
filemenu.recent.empty;Nothing here yet - pictures you open appear in this list;Chưa có gì - ảnh bạn mở sẽ hiện trong danh sách này
filemenu.recent.forget;Remove from this list;Xoá khỏi danh sách này
filemenu.language.label;Language;Ngôn ngữ
filemenu.language.en;English;English
filemenu.language.vi;Tiếng Việt;Tiếng Việt
dialog.common.ok;OK;OK
dialog.common.cancel;Cancel;Huỷ
dialog.common.close;Close;Đóng
dialog.about.title;About Paint Web;Giới thiệu Paint Web
dialog.about.app-name;Paint Web 0.1.0;Paint Web 0.1.0
dialog.about.body;A web rebuild of the Microsoft Paint (Windows 10) Ribbon interface, running entirely client-side.;Bản dựng lại giao diện Ribbon của Microsoft Paint (Windows 10) trên nền web, chạy hoàn toàn client-side.
dialog.about.disclaimer;"Not affiliated with Microsoft. The interface is inspired by Microsoft Paint. Icons come from Font Awesome Pro under a separate license; no original Paint asset is used.";"Không liên kết với Microsoft. Giao diện lấy cảm hứng từ Microsoft Paint. Icon dùng Font Awesome Pro theo license riêng; không sử dụng asset gốc của Paint."
dialog.about.intro-link;Read the public introduction;Đọc trang giới thiệu công khai
dialog.confirm-discard.title;Paint Web;Paint Web
dialog.confirm-discard.message;Do you want to save changes to {0}?;Bạn có muốn lưu thay đổi cho {0} không?
dialog.confirm-discard.save;Save;Lưu
dialog.confirm-discard.dont-save;Don't Save;Không lưu
dialog.edit-colors.title;Edit Colors;Sửa màu
dialog.edit-colors.basic;Basic colors:;Màu cơ bản:
dialog.edit-colors.add-custom;Add to Custom Colors;Thêm vào màu tuỳ chỉnh
dialog.edit-colors.color-solid;Color|Solid:;Màu|Đặc:
dialog.edit-colors.hue;Hue:;Tông:
dialog.edit-colors.sat;Sat:;Bão hoà:
dialog.edit-colors.lum;Lum:;Độ sáng:
dialog.edit-colors.red;Red:;Đỏ:
dialog.edit-colors.green;Green:;Lục:
dialog.edit-colors.blue;Blue:;Lam:
dialog.from-camera.title;From Camera;Từ máy ảnh
dialog.from-camera.capture;Capture;Chụp
dialog.from-camera.starting;Starting the camera...;Đang khởi động máy ảnh...
dialog.from-camera.denied;Permission to use the camera was refused;Quyền dùng máy ảnh đã bị từ chối
dialog.from-camera.unavailable;This browser offers no camera;Trình duyệt này không có máy ảnh
dialog.from-camera.insecure;The camera needs an https connection;Máy ảnh cần kết nối https
dialog.from-camera.hint;The captured picture replaces the one you have open;Ảnh chụp sẽ thay ảnh đang mở
dialog.from-camera.preview;Camera preview;Xem trước máy ảnh
dialog.image-properties.title;Image Properties;Thuộc tính ảnh
dialog.image-properties.file-attributes;File Attributes;Thuộc tính tệp
dialog.image-properties.last-saved;Last saved:;Lưu lần cuối:
dialog.image-properties.not-available;Not available;Không có
dialog.image-properties.size-on-disk;Size on disk:;Dung lượng trên đĩa:
dialog.image-properties.size-estimate;{0} KB (estimated);{0} KB (ước tính)
dialog.image-properties.resolution;Resolution:;Độ phân giải:
dialog.image-properties.dpi;{0} DPI;{0} DPI
dialog.image-properties.units;Units;Đơn vị
dialog.image-properties.inches;Inches;Inch
dialog.image-properties.centimeters;Centimeters;Xentimét
dialog.image-properties.pixels;Pixels;Điểm ảnh
dialog.image-properties.colors;Colors;Màu
dialog.image-properties.black-and-white;Black and white;Đen trắng
dialog.image-properties.color;Color;Màu
dialog.image-properties.width;Width:;Rộng:
dialog.image-properties.height;Height:;Cao:
dialog.page-setup.title;Page Setup;Thiết lập trang
dialog.page-setup.paper;Paper;Giấy
dialog.page-setup.size;Size:;Khổ:
dialog.page-setup.a4;A4;A4
dialog.page-setup.letter;Letter;Letter
dialog.page-setup.orientation;Orientation;Hướng giấy
dialog.page-setup.portrait;Portrait;Dọc
dialog.page-setup.landscape;Landscape;Ngang
dialog.page-setup.margins;Margins (millimetres);Lề (milimét)
dialog.page-setup.left;Left:;Trái:
dialog.page-setup.right;Right:;Phải:
dialog.page-setup.top;Top:;Trên:
dialog.page-setup.bottom;Bottom:;Dưới:
dialog.page-setup.centering;Centering;Canh giữa
dialog.page-setup.horizontal;Horizontal;Ngang
dialog.page-setup.vertical;Vertical;Dọc
dialog.page-setup.scaling;Scaling;Tỉ lệ
dialog.page-setup.fit;Fit to page;Vừa trang
dialog.page-setup.adjust;Adjust to:;Chỉnh về:
dialog.page-setup.percent;%;%
dialog.page-setup.hint;The browser still shows its own print dialog - this only sets the page.;Trình duyệt vẫn hiện hộp thoại in của nó - phần này chỉ đặt trang.
dialog.print-preview.title;Print Preview;Xem trước khi in
dialog.print-preview.print;Print;In
dialog.print-preview.page-setup;Page setup;Thiết lập trang
dialog.print-preview.measure;{0} x {1} mm of {2} x {3} mm;{0} x {1} mm trên {2} x {3} mm
dialog.print-preview.page;Page;Trang
dialog.resize-skew.title;Resize and Skew;Đổi cỡ và nghiêng
dialog.resize-skew.resize;Resize;Đổi cỡ
dialog.resize-skew.by;By:;Theo:
dialog.resize-skew.percentage;Percentage;Phần trăm
dialog.resize-skew.pixels;Pixels;Điểm ảnh
dialog.resize-skew.horizontal;Horizontal:;Ngang:
dialog.resize-skew.vertical;Vertical:;Dọc:
dialog.resize-skew.maintain-ratio;Maintain aspect ratio;Giữ tỉ lệ khung hình
dialog.resize-skew.skew;Skew (Degrees);Nghiêng (độ)
dialog.resize-skew.hint;Limited to 89° either way - a wider angle makes the matrix degenerate.;Giới hạn 89° mỗi chiều - tránh ma trận suy biến.
dialog.save-as.title;Save As;Lưu thành
dialog.save-as.file-name;File name:;Tên tệp:
dialog.save-as.type;Save as type:;Lưu kiểu:
dialog.save-as.quality;Quality:;Chất lượng:
dialog.save-as.format-option;{0} ({1});{0} ({1})
dialog.save-as.hint-png;PNG keeps alpha - the default format.;PNG giữ nguyên alpha - định dạng mặc định.
dialog.save-as.hint-jpeg;JPEG has no alpha: a transparent background turns white.;JPEG không có alpha: nền trong suốt sẽ thành trắng.
dialog.save-as.hint-bmp;BMP is written by a hand-rolled encoder, 24-bit uncompressed - alpha is flattened onto white.;BMP ghi bằng encoder tự viết, 24-bit không nén - alpha hợp nhất với nền trắng.
dialog.save-as.hint-gif;GIF is quantised to 256 colors with 1-bit alpha.;GIF lượng tử hoá về 256 màu, alpha 1-bit.
dialog.save-as.hint-webp;"WEBP keeps alpha; Safari 16 and later.";"WEBP giữ alpha; Safari 16 trở lên."
document.name.untitled;Untitled;Chưa đặt tên
document.name.camera;Camera;Máy ảnh
drop.overlay.label;Drop a picture here to open it;Thả ảnh vào đây để mở
live.region.label;Announcements;Thông báo
live.image.size;The picture is now {0} x {1} pixels;Ảnh hiện là {0} x {1} điểm ảnh
live.selection.size;Selection {0} x {1} pixels;Vùng chọn {0} x {1} điểm ảnh
live.selection.none;Selection cleared;Đã bỏ vùng chọn
toast.file.gif-flattened;An animated GIF opens as its first frame only;Ảnh GIF động chỉ mở được khung hình đầu tiên
toast.file.too-large;That picture is larger than 8000 pixels on a side;Ảnh đó có cạnh lớn hơn 8000 điểm ảnh
toast.file.open-failed;That file could not be opened as a picture;Không mở được tệp đó như một ảnh
toast.file.not-a-picture;That file is not a picture;Tệp đó không phải là ảnh
toast.file.one-at-a-time;Only the first picture was opened - Paint holds one at a time;Chỉ mở ảnh đầu tiên - Paint chỉ giữ một ảnh mỗi lần
toast.file.save-failed;The file could not be written;Không ghi được tệp
toast.file.downloaded;Saved to your Downloads folder;Đã lưu vào thư mục Tải xuống
toast.file.permission-denied;Permission to use that file was refused;Quyền dùng tệp đó đã bị từ chối
toast.file.close-blocked;A tab can only be closed from the browser itself;Chỉ có thể đóng thẻ từ chính trình duyệt
toast.file.over-canvas-limit;This browser cannot hold a picture that large;Trình duyệt này không chứa nổi ảnh lớn đến vậy
toast.print.failed;The picture could not be printed;Không in được ảnh
toast.camera.failed;The camera handed back no picture;Máy ảnh không trả về ảnh nào
toast.clipboard.no-image;The clipboard holds no picture;Bảng tạm không có ảnh nào
toast.clipboard.copy-failed;The picture could not be copied;Không sao chép được ảnh
toast.clipboard.paste-shortcut;This browser only pastes with the keyboard shortcut;Trình duyệt này chỉ dán được bằng phím tắt
history.label.pencil;Pencil;Bút chì
history.label.brush;Brush;Cọ vẽ
history.label.eraser;Eraser;Tẩy
history.label.fill;Fill with color;Tô màu
history.label.picker;Pick color;Lấy màu
history.label.magnifier;Magnifier;Kính lúp
history.label.shape;Shape;Hình
history.label.selection;Selection;Vùng chọn
history.label.delete;Delete selection;Xoá vùng chọn
history.label.paste;Paste;Dán
history.label.crop;Crop;Cắt xén
history.label.rotate;Rotate;Xoay
history.label.flip;Flip;Lật
history.label.resize;Resize;Đổi cỡ
history.label.canvas;Canvas size;Cỡ trang vẽ
history.label.text;Text;Văn bản
